code,ticker,trivial,menu_item
aapl,AAPL,Apple,AAPL (Apple)
amzn,AMZN,Amazon,AMZN (Amazon)
bmy,BMY,Bristol-Myers,BMY (Bristol-Myers)
cl_f,CL=F,Crude Oil,CL=F (Crude Oil)
csco,CSCO,Cisco Systems,CSCO (Cisco Systems)
dis,DIS,Walt Disney,DIS (Walt Disney)
gc_f,GC=F,Gold,GC=F (Gold)
ge,GE,General Electric,GE (General Electric)
googl,GOOGL,Google/Alphabet,GOOGL (Google/Alphabet)
hg_f,HG=F,Copper,HG=F (Copper)
intc,INTC,Intel,INTC (Intel)
jnj,JNJ,Johnson & Johnson,JNJ (Johnson & Johnson)
jpm,JPM,JPMorgan,JPM (JPMorgan)
ko,KO,Coca-Cola,KO (Coca-Cola)
msft,MSFT,Microsoft,MSFT (Microsoft)
pep,PEP,Walt Disney,PEP (Walt Disney)
pg,PG,Procter & Gamble,PG (Procter & Gamble)
si_f,SI=F,Silver,SI=F (Silver)
t,T,AT&T,T (AT&T)
v,V,Visa,V (Visa)
xom,XOM,Exxon Mobil,XOM (Exxon Mobil)
zw_f,ZW=F,Wheat,ZW=F (Wheat)
f,F,Ford Motor,F (Ford Motor)
